10314825,1
14164242,2
15069148,3
15069164,3
15462689,3
18302632,4
22702834,3
22934972,3
23045598,3
23045626,3
24619508,3
24787336,4
25330883,5
25330890,5
26191283,3
26195680,3
26223216,6
26239027,7
26241531,3
26241532,3
26241533,3
26243847,3
26570188,4
26572411,3
26572413,3
28327252,1
28415344,4
28416139,4
28416142,4
28423793,8
28476430,4
28476441,4
28476449,4
28476453,4
29097001,4
29097006,4
29231342,3
29318528,3
29431343,3
29491673,4
30901975,3
33057433,4
34397729,3
37036753,3
37316385,4
38223726,4
38286325,4
38286327,4
38306193,4
38311556,4
38332717,3
38364270,9
38364271,9
38590549,8
38590550,8
38590551,8
38706623,4
38805379,4
39074536,3
39117561,3
39117564,3
39129347,3
39129981,3
39129982,3
39131863,3
39163961,10
39182774,3
39182882,3
39275710,3
39361475,11
39523687,8
39612892,12
39699026,3
39891413,4
40136908,4
40431082,13
40431083,14
41266131,8
41339759,15
41678325,16
41735258,4
42109797,3
42160987,17
42160988,17
42161736,18
42162086,19
42316570,16
42658396,20
42658401,4
42945276,21
42956150,4
42956152,22
42956154,22
43681732,3
43685031,3
43723513,3
43840391,23
43840393,24
43840396,25
43840397,26
43840398,27
43840404,28
43840405,29
43840406,30
43840407,31
43840408,32
43840410,33
43840411,34
43840412,35
43840413,35
43840414,36
43840415,37
43840885,38
43840886,38
43937616,3
43937619,3
43938499,3
44080672,3
44529977,39
44650468,40
44804971,16
44837816,41
44851992,42
44851994,42
45408542,3
45446886,43
45446887,43
45475813,5
45484731,44
45484732,45
45484733,46
46421349,47
46422686,47
46422687,47
46422690,47
46422691,47
46429233,48
46429234,48
46604114,49
46686563,9
46731313,49
46731365,49
46731372,49
46825049,49
46825052,49
46825100,49
47076429,3
47463098,3
48411489,3
49847636,4
49847648,50
49847668,4
50223626,3
50808744,49
50879282,3
50894042,3
50899192,3
51235737,3
52457530,3
52983900,3
53178182,4
53214182,16
53261172,16
53276271,3
53357000,3
54935881,16
57743470,3
57784845,3
57784846,3
58665030,4
58665031,4
58665032,4
60361342,16
60573632,51
60574461,52
61331386,3
67168888,53
67192425,53
67192428,53
67196820,53
67196828,53
67196829,53
67196832,53
67196835,53
67550778,16
67550779,16
67794716,16
67794717,16
67794719,16
68164826,3
69914386,3
72447538,54
72525459,4
73919771,3
74765049,53
74846959,55
74851351,55
75751745,3
75757330,56
75757370,56
76236287,57
77364903,3
77385176,3
77489993,3
78313683,58
78498954,59
78498955,59
79086796,56
79728400,60
83175364,3
83528002,3
83599795,3
83922282,4
84653520,61
84654836,3
84657157,3
84657158,3
84761219,4
84761220,62
84761221,4
84761222,4
84761401,4
84761430,4
87199103,3
87276833,63
87543188,3
